nra,num,cosit,TMU,location,lat,lng
NRA,3105,NRA_000000003105,TMU M01 034.0 S,M01 Southbound Jn07 to Jn08 (Superceeded by 31031 on 24th Nov 2017),53.6732,-6.35109
NRA,3106,NRA_000000003106,TMU M01 060.0 N,M01 Castlebellingham Jn15 to  (supeceeded by 31061 November 2017),53.91606,-6.41607
NRA,3111,NRA_000000003111,TMU M11 041.0 S,"M11 between Jn 17 and Jn18 , Glenealy Co.Wicklow",52.96628,-6.09643
NRA,3114,NRA_000000003114,TMU M11 090.0 N,"M11 Between Jn24 Clogh and Jn 25 Enniscorthy, Co. Wexford",52.6176,-6.37405
NRA,3115,NRA_000000003115,TMU M11 097.0 N,"M11 Between Jn25 Enniscorthy and Jn26 M11\/N11, Co. Wexford",52.50588,-6.51663
NRA,3171,NRA_000000003171,TMU M17 002.0 S,"M17 Between Jn19 N63 Roscommon and Jn18 M6 Galway, Co. Galway",53.31443,-8.79984
NRA,3172,NRA_000000003172,TMU M17 016.0 N,"M17 Between Jn19 N63 Roscommon and Jn20 Tuam, Tuam, Co. Galway",53.42765,-8.83601
NRA,3173,NRA_000000003173,TMU N17 028.0S,"N17 Tuam Bypass, Co. Galway",53.52966,-8.86444
NRA,3181,NRA_000000003181,TMU M18 024.0 N,"M18 Between Jn16 Gort and Jn17 Ardrahan, Kilcolgan, Co. Galway",53.16751,-8.84974
NRA,3182,NRA_000000003182,TMU M18 022.0 N," M18 Between Jn17 Ardrahan and Jn18 M6 Galway, Kilcolgan Co. Galway",53.19194,-8.83161
NRA,3301,NRA_000000003301,TMU M03 010.0 S,TME 01 M03 Jn04 to Jn05,53.42933,-6.4644
NRA,3302,NRA_000000003302,TMU M03 012.0 S,TME 02 M03 Jn05 North-side Ramps,53.43897,-6.46878
NRA,3303,NRA_000000003303,TMU M03 013.0 S ,TME 03 M03 Jcn05 to Jcn06,53.4423,-6.47054
NRA,3304,NRA_000000003304,TMU M03 020.0 S,TME 04 M03 Jnc06 North-side Ramps ,53.51162,-6.56182
NRA,3305,NRA_000000003305,TME M03 021.0 S,TME 05 M03 Jn06 to Jn07,53.51602,-6.56167
NRA,3306,NRA_000000003306,TMU M03 030.0 S,TME 05 M03 Jn07 North-side Ramps ,53.59938,-6.61579
NRA,3307,NRA_000000003307,TMU M03 032.0 S,TME 07 M03 Jn07 to Jn08,53.60249,-6.6384
NRA,3308,NRA_000000003308,TMU M03 035.0 S ,TME 08 M03 Jn08 North-side Ramps ,53.61787,-6.68559
NRA,3309,NRA_000000003309,TMU M03 037.0 N,TME 09 M03 Jn08 to Jn09,53.62388,-6.71424
NRA,3310,NRA_000000003310,TMU M03 040.0 S,TME 10 M03 Jn09 North-side Ramps ,53.64191,-6.7428
NRA,3311,NRA_000000003311,TMU M03 041.0 N,TME 11 M03 Jn09 to Jn10,53.64821,-6.74992
NRA,3312,NRA_000000003312,TMU M03 050.0 N,TME 12 M03 Jn10 Northbound On Ramp,53.70779,-6.8558
NRA,3313,NRA_000000003313,TMU M03 050.0 S,TME 13 M03 Jn10 Southbound On Ramp,53.70809,-6.85468
NRA,3314,NRA_000000003314,TMU M03 051.0 S ,TME 14 M03 Jn10 to Jn11,53.71339,-6.86808
NRA,3401,NRA_000000003401,TMU M04 052.0 E,TME-01 M04 Jn11 M04\/M06 to Jn12 Kinnegad,53.45392,-7.11684
NRA,3402,NRA_000000003402,TMU M06 000.0 W,TME-02 M06 Jn02  to Jn11 M04\/M06,53.44982,-7.10889
NRA,3403,NRA_000000003403,TMU M04 045.0 W,TME-03 M04 Jn09 Enfield to Jn10 Kinnegad ,53.44432,-7.0549
NRA,3404,NRA_000000003404,TMU M04 032.0 E,TME-04 M04  Jn09  Enfield,53.4098,-6.84771
NRA,3405,NRA_000000003405,TMU M04 030.0 E,TME 05 M04 Jn08 Kilcock to Jn09 Enfield,53.40575,-6.8328
NRA,3601,NRA_000000003601,TMU M06 080.0 E,M06 Jn14 Ballinasloe East to Jn15 Ballinasloe West,53.31604,-8.24274
NRA,3602,NRA_000000003602,TMU M06 115.0 E,M06 Jn16 Carrowkeel (Loughrea) to Jn17 Athenry,53.28637,-8.75894
NRA,3603,NRA_000000003603,TMU M06 100.0 E,M06 Jn15 Ballinasloe West to Jn16 Carrowkeel (Loughrea),53.26545,-8.60731
NRA,3604,NRA_000000003604,TMU M06 125.0 E,M06 Jn17 Athenry to Jn19 Glennascaul ,53.29544,-8.92175
NRA,3605,NRA_000000003605,TMU M06 126.0 E,M06 Jn19 (Western Side) Ramps Glennascaul,53.29526,-8.92536
NRA,3701,NRA_000000003701,TMU M08 015.0 N,M08 Jn03 Rathdowney to Jn04 Urlingford,52.83988,-7.50118
NRA,3702,NRA_000000003702,TMU M08 010.0 N,M07\/M08  to Jn03 Rathdowney ,52.89147,-7.49197
NRA,3703,NRA_000000003703,TMU M07 100.0 W,M07 Jn19 to M07 Jn21 Borris in Ossory,52.91507,-7.49401
NRA,3704,NRA_000000003704,TMU M07 085.0 N,M07 Jn17 Portlaoise to Jn18 Portlaoise West,53.01996,-7.3333
NRA,3801,NRA_000000003801,TMU M08 130.7 N,M08 Watergrasshill Jn18 to Jn17 Northbound,52.00536,-8.34384
NRA,3802,NRA_000000003802,TMU M08 130.7 S,M08 Watergrasshill Jn17 to Jn18 Southbound,52.00521,-8.34312
NRA,3803,NRA_000000003803,TMU M08 125.0 N,M08 Between Jn16 and Jn17,52.05035,-8.30794
NRA,3804,NRA_000000003804,TMU M08 118.1 S,"M08 Corrin Bridge, Jnc15 to Jnc16",52.10814,-8.27496
NRA,3805,NRA_000000003805,TMU M08 117.6 S,M08 Corrin Jn15 South Side On\/Off-Slips,52.11238,-8.27305
NRA,3806,NRA_000000003806,TMU M08 117.0 N,M08 Corrin Jnc15 Northbound On-Slip,52.11744,-8.27226
NRA,3807,NRA_000000003807,TMU M08 117.0 S,M08 Corrin Jnc15 Southbound Off-Slip,52.11692,-8.27178
NRA,10113,NRA_000000010113,TMU M11 050.0 S ,"M11 Jack Whites, North of Arklow, Co. Wicklow",52.89783,-6.10118
NRA,15010,NRA_000000015010,TMU M50 040.0 S,"M50 Between Jn14 Dun Laoghaire and Jn15 Carrickmines, Cabinteely, Co. Dublin",53.26272,-6.19356
NRA,15011,NRA_000000015011,TMU M50 035.0 N,"M50 Betweenn Jn15 Carrickmines and Jn16 Cherrywood ,Cabintely, Co. Dublin",53.2469,-6.16456
NRA,15012,NRA_000000015012,TMU M50 040.0 N,"M50 Between Jn16 Cherrywood and Jn17 M50\/M11, Shankill, Co. Dublin",53.23572,-6.13921
NRA,20011,NRA_000000020011,TMU M01 005.0 N,"M01 Between Jn02 Dublin Airport and Jn03 Swords, Swords, Co. Dublin",53.43663,-6.2103
NRA,20012,NRA_000000020012,TMU M01 020.0 N,"M01 Between Jn04 Donabate and Jn05 Balbriggan South, Co. Dublin",53.55996,-6.21491
NRA,20013,NRA_000000020013,TMU M01 058.9 S,"M01 Between Jn11 Monasterboice and Jn12 Dunleer, Co. Louth",53.81233,-6.39958
NRA,20014,NRA_000000020014,TMU M01 063.4 S,"M01 Between Jn13 Dunleer (North) and Jn14 N2\/Ardee, Charleville, Co. Louth",53.8498,-6.424
NRA,20016,NRA_000000020016,TMU N01 090.0 S,"N01 North of Jn20 Jonesborough, Ravensdale, Co. Louth",54.11027,-6.36497
NRA,20018,NRA_000000020018,TMU M01 080.0 S,"M01 Between Jn18 Carlingford and Jn19 Ravensdale, Ballymascanlan Co. Louth",54.0392,-6.37605
NRA,20019,NRA_000000020019,TMU M01 086.1 S,"M01 Between Jn15 Castlebellingham and Jn14 N2\/Ardee, Drumleck, Co. Louth",53.8912,-6.4262
NRA,20021,NRA_000000020021,TMU M02 000.0 N,"M02 Between Jn01 M50\/N02 and Jn02, Coldwinters, Co Dublin",53.41283,-6.31592
NRA,20022,NRA_000000020022,TMU M02 010.0 N,"M02 Between Jn02 St. Margrets and Jn03 Ashbourne (South), Ashbourne, Co. Meath",53.48403,-6.37795
NRA,20023,NRA_000000020023,TMU N02 060.0 N,"N02 Between Collon and Ardee, Hunterstown, Co. Louth",53.82612,-6.5328
NRA,20024,NRA_000000020024,TMU N02 130.0 S,"N02 Between NI Border and Emyvale, Mullinderg, Co. Monaghan",54.39058,-6.97313
NRA,20031,NRA_000000020031,TMU R147 020.0 N,"R147 Between Dunshaughlin and Navan, Tara, Co. Meath",53.57967,-6.58737
NRA,20032,NRA_000000020032,TMU R147 040.0 S,"R147 (Old N03) Between Kells and Navan, Martry, Co. Meath",53.69842,-6.78932
NRA,20033,NRA_000000020033,TMU R147 010.0 S,"R147 (Old N03) Between Blackbull and Dunshaughlin, Co. Meath",53.49123,-6.52254
NRA,20034,NRA_000000020034,TMU N03 100.0 S,"N03 Between Virginia and Cavan, Poles, Co. Cavan.",53.99095,-7.28958
NRA,20036,NRA_000000020036,TMU N03 120.0 N,"N03 Between Belturbet and George Mitchell Bridge at NI Border, Belturbet, Co. Cavan",54.12109,-7.48169
