,num,cosit,start_date,end_date,path,raw_path,url
2112,20042,NRA_000000020042,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000020042.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000020042.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000020042&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2126,20072,NRA_000000020072,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000020072.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000020072.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000020072&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2127,20073,NRA_000000020073,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000020073.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000020073.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000020073&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2188,20511,NRA_000000020511,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000020511.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000020511.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000020511&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2196,20562,NRA_000000020562,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000020562.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000020562.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000020562&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2218,32501,NRA_000000032501,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000032501.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000032501.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000032501&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2219,32502,NRA_000000032502,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000032502.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000032502.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000032502&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2220,150141,NRA_000000150141,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000150141.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000150141.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000150141&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2300,1161,NRA_000000001161,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000001161.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000001161.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001161&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2336,1321,NRA_000000001321,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000001321.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000001321.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001321&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2338,1401,NRA_000000001401,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000001401.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000001401.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001401&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2339,1403,NRA_000000001403,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000001403.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000001403.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001403&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2340,1404,NRA_000000001404,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000001404.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000001404.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001404&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2341,1405,NRA_000000001405,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000001405.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000001405.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001405&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
2417,3102,NRA_000000003102,2020-07-01,2020-07-31,Data/2020-07-01 - 2020-07-31/NRA_000000003102.xls,Data/Raw/2020-07-01 - 2020-07-31/NRA_000000003102.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003102&reportdate=2020-07-01&enddate=2020-07-31&excel=1&intval=11
